"Combustivel,Quantidade"
"ALCOOL,641720.8170000002"
"ALCOOL/GAS NATURAL COMBUSTIVEL,2131.0"
"ALCOOL/GAS NATURAL VEICULAR,85110.953"
"ALCOOL/GASOLINA,957344.1190000008"
"DIESEL,2935263.0170000037"
"DIESEL/ELETRICO,2.0"
"DIESEL/GAS NATURAL COMBUSTIVEL,38.0"
"DIESEL/GAS NATURAL VEICULAR,104.0"
"ELETRICO/FONTE EXTERNA,6631.0"
"ELETRICO/FONTE INTERNA,7188.0"
"GAS METANO,4392.0"
"GAS NATURAL VEICULAR,275.0"
"GAS/NATURAL/LIQUEFEITO,4.0"
"GASOGENIO,354.0"
"GASOL/GAS NATURAL COMBUSTIVEL,9653.0"
"GASOLINA,3591200.188999999"
"GASOLINA/ALCOOL/ELETRICO,805.993"
"GASOLINA/ALCOOL/GAS NATURAL,698046.7869999998"
"GASOLINA/ELETRICO,22091.73"
"GASOLINA/GAS NATURAL VEICULAR,666522.5440000005"
"Não Identificado,9.0"
"Sem Informação,2365066.366999998"
"VIDE/CAMPO/OBSERVACAO,162.0"
