Tipo,Quantidade
AUTOMOVEL,3835613.036999998
BICICLETA,21.0
BONDE,6.0
CAMINHAO,1006937.1460000003
CAMINHAO TRATOR,382575.04800000007
CAMINHONETE,1147934.162000001
CAMIONETA,883569.534999999
CARRO DE MAO,4.0
CARROCA,4.0
CHARRETE,11.0
CHASSI/PLATAFORMA,8329.0
CICLOMOTOR,121988.439
MICROONIBUS,192300.87300000005
MOTOCICLETA,860483.4309999995
MOTONETA,138280.06199999998
MOTOR-CASA,17853.0
Não Identificado,435.0
ONIBUS,457641.8899999998
QUADRICICLO,365.0
REBOQUE,1380795.3149999985
SEMI-REBOQUE,707288.0730000001
SIDE-CAR,9796.0
Sem Informação,425485.827
TRATOR DE ESTEIRAS,597.0
TRATOR DE RODAS,44308.729999999996
TRATOR MISTO,2757.0
TRICICLO,53930.0
UTILITARIO,314805.9480000002
